N	A	dA	(E2-E0)	d(E2-E0)	chi
400	0.509515155585525	0.0013130790663403594	1.9949188093251795	0.00646167196930501	0.04769381542709558
286	0.49774417822208866	0.0011769721888542728	2.0076758918256408	0.005636377548402236	0.06377381181483746
222	0.49245539827917395	0.001168012082871147	2.000767533448019	0.005459992455443496	0.050557160539045375
182	0.4935836042389283	0.001045889114040907	1.9922829082992797	0.004542288114050391	0.05557932158708426
154	0.49306693652942213	0.0008724528691345116	1.999687980575041	0.003692871754246745	0.034610013236312
133	0.4921024867661269	0.0009872239475152212	1.9838186518937972	0.004002785296430773	0.0407684150006749
118	0.4847541097271906	0.0016522568545337384	1.9789960250022907	0.0062632082582546305	0.08223651027697657
105	0.48221688190731016	0.001662011853998212	1.9790055629161192	0.006304968521108042	0.1247800052692922
95	0.48097692803666814	0.0013192181025013484	1.9663507575123853	0.004747449388891265	0.04916357899391214
87	0.47147269805631353	0.0015567248956223803	1.978649592889877	0.005574526885202934	0.04876346799939278
80	0.4702950545909686	0.0016779819070493278	1.9753626248734164	0.005647822343335069	0.06432703697289624
74	0.46488379434048543	0.002133137668591217	1.967257524947297	0.006884269975533919	0.09260231075805123
69	0.4670364016459092	0.0018766049262076217	1.9939463401841853	0.005865197639706192	0.06273458404628782
65	0.4600092188109004	0.002478159177181237	1.9806079386535265	0.007528094832086888	0.1085190589685994
61	0.45374921272184154	0.0033648257828696685	1.9750409595883065	0.010064795273032792	0.12536306533010186
57	0.44249065969827944	0.003496486104031149	1.9617486932270667	0.01016155842011621	0.09184068532263928
